tsne_0,tsne_1,tsne_3,tsne_2,phrase,label
0.5768205457365474,0.3797727347064343,0.3696484476605213,0.6555351803793449,3d computer graphics,cs
0.5485941027912822,0.38743363609914777,0.371868466932633,0.6501173077940464,3d core graphics system,cs
0.4104588052606992,0.05957193145691464,0.5317388198293918,0.43416275779282676,Gradient boosting,cs
0.4446935886148374,0.8175439377616162,0.34746472085353597,0.5823323885298765,Node Link,cs
0.6404927021318376,0.6199167377450311,0.6378038660376002,0.46381071234706506,Object Oriented Programming,cs
0.6854605241457703,0.40349837137854144,0.4948941767506338,0.8140061839232884,Singleton pattern,cs
0.6727679980993062,0.5535414406781072,0.41535221783112897,0.2693623198368652,abstract algebra,cs
0.7803668760011492,0.602906046155455,0.4934529705386545,0.4493257623264261,abstract data structures,cs
0.7960854924561015,0.572843832155127,0.4951201306343383,0.4551220123418697,abstract data type,cs
0.7883139274363049,0.5492451013127848,0.48455780712192875,0.4850629282522501,abstract graphical data type,cs
0.7053908145693406,0.4877390333370195,0.44764228674886297,0.5515598919171667,abstract machines,cs
0.4604919153753677,0.18104845013897278,0.6221820322299773,0.7105905566750605,acoustic model,cs
0.38638594982303076,0.7791479522583262,0.44686110182932604,0.5092196872813151,active networking,cs
0.5597179148420454,0.18477265924637365,0.7729116545712805,0.6571764856637711,adaptive huffman coding,cs
0.5435289290749129,0.3642393215018045,0.5856781151521563,0.44659682363725123,adaptive predictive coding,cs
0.8179188475779235,0.5559246828837946,0.8289483548317025,0.3190791797514646,adjacency list,cs
0.8166323562093886,0.5846508812096983,0.778446093723051,0.3618138717654427,adjacency list data structure,cs
0.5840690206497889,0.677344918699438,0.41955128642799017,0.8198343506555836,adjacent vertices,cs
0.5655421172180208,0.524113040835816,0.5373004796667485,0.5764865062377778,advanced computing environment,cs
0.5892057157909532,0.5154115693753749,0.47893012853174666,0.5166755626430114,affective computing,cs
0.6436879254240551,0.5305436008499005,0.4486701039159591,0.24170537591556623,algebraic theories,cs
