tsne_4,tsne_0,tsne_1,tsne_3,tsne_2,phrase,label
0.35803989996396574,0.2645016262613769,0.2635143829655338,0.5397045341456717,0.7346529111169919,3d computer graphics,cs
0.3615944729364392,0.2004598936791637,0.32887391487227274,0.5275133987632254,0.7652982118703857,3d core graphics system,cs
0.20490413045931646,0.45039038764649536,0.4629004585095835,0.2157916527704689,0.41684923047723144,Gradient boosting,cs
0.509213289736043,0.3200291219214889,0.3438989343885791,0.4984992109291725,0.5611188992773976,Node Link,cs
0.3813903026683749,0.06421438854915434,0.3931651845901238,0.4042937181716969,0.5006630272427235,Object Oriented Programming,cs
0.514177085783205,0.3788956145156103,0.09746257628346064,0.5765120445740881,0.19017782491250107,Singleton pattern,cs
0.5270066523282279,0.09991409248266307,0.33249861324681323,0.5305824649711607,0.303788678724805,abstract algebra,cs
0.6806294937398037,0.08364214323245923,0.35369662000317653,0.5339848649705999,0.41471963677299045,abstract data structures,cs
0.6394028055577496,0.0934501443852933,0.3727147025048619,0.5550149685612017,0.40318014370512384,abstract data type,cs
0.5567755196842052,0.09303557368503232,0.27060163820520095,0.5494095839711558,0.5047122645986797,abstract graphical data type,cs
0.530978819014255,0.1382811968275645,0.24710353225183612,0.5343310539576648,0.559288005213407,abstract machines,cs
0.31437345597018107,0.37766280796152585,0.14971014000828908,0.38777414267696453,0.4075068703300687,acoustic model,cs
0.4140688466977984,0.4182343128449688,0.4224449006746926,0.2110254545948854,0.7019361491541599,active networking,cs
0.13106612764696826,0.2959371865572758,0.35612634425662876,0.3144815311616684,0.6164403699323775,adaptive huffman coding,cs
0.3270326305856153,0.10751931924410867,0.505714480090099,0.3621117495150897,0.4774623309584149,adaptive predictive coding,cs
0.48510871456312354,0.41851086026704976,0.6898203801605357,0.25741774609394275,0.258462166160968,adjacency list,cs
0.6944920150506124,0.15501401258469125,0.5878922087644224,0.47210125973418626,0.3503015840653065,adjacency list data structure,cs
0.5603697945590574,0.3140576950252005,0.12442652445357903,0.5871875727963894,0.3247430377714116,adjacent vertices,cs
0.3855379724129263,0.17466222514049065,0.37886744685835383,0.4271418405300549,0.7901627052456704,advanced computing environment,cs
0.27697624183447367,0.22471041592759963,0.43426270753469876,0.4539628489310097,0.6404579329277686,affective computing,cs
0.5346619623648285,0.06818416613607084,0.380944935108874,0.45852885421175954,0.20605573315950626,algebraic theories,cs
0.3577827491713316,0.09443354133234168,0.4659163047283648,0.38772094263311696,0.4346301503934428,algorithmic assignment,cs
0.48136853561016546,0.030724101121388934,0.3945014345608339,0.5089973202859808,0.3228237506190966,algorithmic complexity theory,cs
0.4238861869417164,0.05239854183109297,0.38998474443968395,0.430136334471392,0.5142774045287183,algorithmic design,cs
0.49603896520323193,0.030944733653686985,0.42524250110781714,0.4751200626204163,0.3631620498960796,algorithmic information theory,cs
0.5496314978044767,0.20931776959880224,0.4115956358688322,0.4740046583216614,0.38982538509533493,analog filters,cs
0.5433733056944244,0.4178098736851085,0.233743993245203,0.438582045014305,0.4253174437656183,analog recording,cs
0.4769495895169756,0.34216210038235617,0.2546021710981445,0.5302969682518089,0.4457485491637545,analog signal,cs
0.4089673841608675,0.30854983300631666,0.34167335032041496,0.5166939843050139,0.7422768467909471,analog-to-digital converter,cs
0.21503496255290105,0.4602478526852749,0.48978746555262637,0.7091798473480727,0.7661985587162926,application crashing,cs
0.33632656893919294,0.19944972018885265,0.41047960968409236,0.3658536132384219,0.7019052972696523,application programming interface,cs
0.37191538291526266,0.2012437600865857,0.41344061619151573,0.38234472486781723,0.7097913069829135,application programming interfaces,cs
0.4129506936125822,0.08624722493845087,0.3594040220406516,0.3396649470327791,0.32609823926915293,applied mathematics,cs
0.5346238281207394,0.027059008876589657,0.4646676310991231,0.6387529307479993,0.31510914913496657,approximation algorithms,cs
0.4407730282408277,0.493721972887833,0.2830189268332259,0.37965084957392187,0.2942659357140555,arnoldi iteration,cs
0.8442321313217201,0.3473059842206553,0.4278783455168704,0.5802208474819323,0.414299653369945,array list,cs
0.4047356542869495,0.34768317528036746,0.4095695832656604,0.5452601584477846,0.38810502870201186,artificial bee colony algorithm,cs
0.28806114376914355,0.20192560801936096,0.31375231482436994,0.3619150793772629,0.2988917153089291,artificial consciousness,cs
0.3694428740406071,0.1490566782610026,0.40827769851440815,0.37422595325810426,0.3909629058131498,artificial intelligence,cs
0.34363421899424457,0.20942657774865084,0.41656671548923246,0.39247390305605,0.3749945668060799,artificial intelligent agents,cs
0.33894472946683313,0.10730967589324134,0.34845633246379765,0.42905137430675144,0.40333614361300163,artificial neural network,cs
0.36532891483568275,0.09449198399666338,0.348062443423966,0.4293254615214648,0.39854739948224677,artificial neural networks,cs
0.30069897201943024,0.17437995511559715,0.31639372166852614,0.44028662399063784,0.36343900611827,artificial neurons,cs
0.285315444736127,0.15736142391646876,0.30640488270695243,0.47542360222936925,0.4460267389737449,artificial neurons stochastic transfer functions,cs
0.3853340733418846,0.10089821941991585,0.351031836829459,0.42759829167357155,0.44966470348810816,artificial systems,cs
0.5370952997255645,0.1339267320655887,0.3299917785203012,0.5264908143307551,0.46939510396446366,associative arrays,cs
0.4275083219612886,0.13880142855061994,0.5509785882288842,0.3923383799960404,0.11937233691038227,associative classifier,cs
0.4717407935164657,0.2234118273540275,0.25572436018900113,0.4365676689112142,0.3847679315982402,augmented reality,cs
0.40328107956672893,0.2286626171399804,0.6296568707109359,0.4110386233326032,0.6812874331297091,authentication mechanism,cs
0.3820640015911226,0.1157460097063338,0.272427921947081,0.46445008789494585,0.1899817144280785,automata theory,cs
0.318256039559911,0.16159600067294913,0.2931795103120001,0.35060292173908353,0.5244153748890205,automata-based programming,cs
