tsne_0,tsne_1,tsne_3,tsne_2,phrase,label
0.7721548079681007,0.46134910578107957,0.5456012776889363,0.6032037948966888,3d computer graphics,cs
0.6649943501513161,0.3628437137455409,0.3994672036738775,0.5049536930569531,3d core graphics system,cs
0.442277691528733,0.23548783487295566,0.5384479533064789,0.3545758582182404,Gradient boosting,cs
0.5234878450136432,0.27510558941734436,0.2701089582168531,0.26771163547893534,Node Link,cs
0.7018450160240256,0.29694577851740805,0.5125706459636528,0.3971915968420354,Object Oriented Programming,cs
0.35077237714989,0.5904287578487177,0.30933216745173586,0.22388467723395503,Singleton pattern,cs
0.6786058864187768,0.8201645390511889,0.40426650134944453,0.43802710833567116,abstract algebra,cs
0.5350574829627952,0.8562748604451726,0.5915894708270972,0.3488420833392747,abstract data structures,cs
0.4736543059427829,0.8621223575624803,0.47117399032161716,0.3098974574782196,abstract data type,cs
0.5155664780031318,0.862394380205505,0.47333571485129816,0.3645126077531847,abstract graphical data type,cs
0.47280942172992874,0.8422662036976788,0.5646440862735572,0.3781473930080378,abstract machines,cs
0.39716511909368557,0.47412302523022404,0.28703496435513315,0.4105459344749177,acoustic model,cs
0.4086741364776908,0.049625228133612934,0.5960546693207843,0.4561465906665453,active networking,cs
0.5430860433421926,0.37612032625912684,0.3572132494989754,0.4468506836313473,adaptive huffman coding,cs
0.5678471382187991,0.30838415541416614,0.38176455037138274,0.404201424509926,adaptive predictive coding,cs
0.4263212385721382,0.4124150313220168,0.25436424453394074,0.15294958405410153,adjacency list,cs
0.6023610140692445,0.33051824852663925,0.25760716070594336,0.1728203750513908,adjacency list data structure,cs
0.30793502401585293,0.3541265357019183,0.5075693463992621,0.37262022844582365,adjacent vertices,cs
0.6295692667100669,0.17988565091430134,0.552583677042535,0.5377207835887866,advanced computing environment,cs
0.7748500625002378,0.2983635479017007,0.4934130125291724,0.47291453327810234,affective computing,cs
0.6948582525722565,0.3891780222134144,0.46155778999067004,0.38399668235138595,algebraic theories,cs
0.6805176476109619,0.32424327296720296,0.49134642749045204,0.42975438412822986,algorithmic assignment,cs
0.8610437455443728,0.43703693049326325,0.6378054164842285,0.42240270526278945,algorithmic complexity theory,cs
0.7661435448181032,0.30077761839427064,0.4778286873656838,0.47762527650983666,algorithmic design,cs
0.8383718045694801,0.31250996505955275,0.4489877748977285,0.47488533331908067,algorithmic information theory,cs
0.5521435374750032,0.6858484868420625,0.23639410268837302,0.42767730382850705,analog filters,cs
0.5431988304122295,0.7091885208136813,0.21263132055473477,0.4815133443952855,analog recording,cs
0.4341531554789313,0.6996964871492508,0.245139595601359,0.4205029588715136,analog signal,cs
0.6157417783416813,0.6002956353471784,0.2418352445461056,0.3948935838049929,analog-to-digital converter,cs
0.5543415842919305,0.7034509288793014,0.7089201526144089,0.15591943576602715,application crashing,cs
0.7934381547395335,0.18443793777862275,0.4400957630960315,0.3887996546660599,application programming interface,cs
0.7866540988251202,0.20326805408135443,0.4584711215177959,0.3638546327475673,application programming interfaces,cs
0.7491233608172113,0.4158667322221345,0.37967509629767693,0.5262835866668384,applied mathematics,cs
0.6153124529487823,0.45867327260594376,0.40557363532298524,0.43598470218934154,approximation algorithms,cs
0.36664413924522443,0.47357185944030084,0.09160059405354327,0.2776660367910579,arnoldi iteration,cs
0.5279148009417314,0.3843551661028191,0.21982405675948108,0.2033762724538248,array list,cs
0.7884116323552519,0.5138968623561263,0.4164579423502499,0.5592270803961032,artificial bee colony algorithm,cs
0.4682323687492424,0.8006440624149922,0.5686178164362088,0.3529308077271914,artificial consciousness,cs
0.708261877228174,0.5254316705659724,0.6816982600278566,0.5038175667259341,artificial intelligence,cs
0.5854410833908641,0.5232711655665503,0.6429814762064087,0.5709460436215898,artificial intelligent agents,cs
0.7483891715696468,0.46865585919252006,0.567434901761226,0.4594149949243848,artificial neural network,cs
0.7648492223014381,0.4833857020537938,0.6395220736331074,0.4676561538225284,artificial neural networks,cs
0.5789618304146891,0.6867286857977829,0.6246819164548189,0.4782102454473768,artificial neurons,cs
0.7489229604038871,0.474943446319373,0.5278949128359569,0.4463008388532425,artificial neurons stochastic transfer functions,cs
0.5094877844335619,0.664294141806293,0.6302770869962263,0.28317826634190185,artificial systems,cs
0.41828392847889895,0.3917171603785368,0.3341445937347952,0.18986187216212003,associative arrays,cs
0.44483615023165873,0.35351846190990976,0.2632193149634885,0.17080697267312453,associative classifier,cs
0.523262950643485,0.31994871085716453,0.5111132382196342,0.4073816123324424,augmented reality,cs
0.5661078087713233,0.26929938849933427,0.32433723589402597,0.3478818003624604,authentication mechanism,cs
0.8224336102660649,0.3390673684926227,0.30052806981256286,0.352348657996539,automata theory,cs
0.8246080103503538,0.3133417833917056,0.41966026388738936,0.3701433943461374,automata-based programming,cs
0.6447635357036636,0.3842556676351321,0.4073043998657503,0.6749080084263073,automatic memory management,cs
0.41068906549232664,0.34980755674449404,0.30048108672374146,0.5311525500170711,automatic speech recognition,cs
0.7812114837642682,0.33980638335712193,0.40829901596409335,0.43615247142037056,autonomic computing,cs
