tsne_0,tsne_1,tsne_3,tsne_2,phrase,label
0.6481407500211018,0.5939625143355185,0.8445601576600243,0.7631609635126566,3d computer graphics,cs
0.6399711733879102,0.5931372543291483,0.8413724521430911,0.7593752507695443,3d core graphics system,cs
0.5294766231247923,0.946055097858963,0.4429460143771981,0.6670536327392582,Gradient boosting,cs
0.6094293785836465,0.38785989440084045,0.7528836741127476,0.5122245536943143,Node Link,cs
0.4996294113329892,0.6962990008110038,0.6548071374713559,0.5069593343563737,Object Oriented Programming,cs
0.6215509414741337,0.5339876626219305,0.28235447204232295,0.3111756704625095,Singleton pattern,cs
0.3601406327163367,0.5224805059735433,0.4097883210153758,0.04926928598818784,abstract algebra,cs
0.4687127459851787,0.3745008349393905,0.24219983543282464,0.2865250829494189,abstract data structures,cs
0.4649194777512903,0.37346648465529375,0.24381697831805965,0.29011501939019635,abstract data type,cs
0.4646299197975666,0.38612218202843357,0.24356978957155387,0.29128044996841074,abstract graphical data type,cs
0.45655922800305376,0.3557587135588229,0.227536979989541,0.31492413117539525,abstract machines,cs
0.46602681170536137,0.52873545740699,0.45745044011579933,0.4478980293657953,acoustic model,cs
0.6078998226705371,0.40046136677344374,0.8443587195715109,0.40144580853446,active networking,cs
0.5686274527082269,0.7839865281669494,0.5915221941388767,0.3882409479372271,adaptive huffman coding,cs
0.5623753989348954,0.7790140318350854,0.5904759205284339,0.3908235717846081,adaptive predictive coding,cs
0.3884764305776678,0.6723084622239734,0.5411221985019348,0.5502717050768865,adjacency list,cs
0.39871480786551017,0.6796943386820792,0.549622368876279,0.5582139309158481,adjacency list data structure,cs
0.1563374557310804,0.43186938588417045,0.45523875375699246,0.3233791502607859,adjacent vertices,cs
0.6610766904340408,0.6002140624040218,0.7861941167542044,0.6075857863876495,advanced computing environment,cs
0.6310789928220388,0.5540582989500965,0.8221934629100123,0.561089212527112,affective computing,cs
0.43848220417157563,0.6305331264554863,0.7965258382141205,0.825723662670172,algebraic theories,cs
0.32592928073568145,0.626380777779219,0.7579761617256571,0.5148528205330446,algorithmic assignment,cs
0.2821325291941295,0.5563717788733205,0.8244413595780493,0.5586163991057201,algorithmic complexity theory,cs
0.328590926326028,0.6267812257808468,0.7596241686377242,0.5165069018640317,algorithmic design,cs
0.33471470738570736,0.6154501238863791,0.7541559664204304,0.5312938429129376,algorithmic information theory,cs
0.5309163411412439,0.5899339137614005,0.08413813318879941,0.3669538865008827,analog filters,cs
0.5272911639151745,0.5968246127925,0.08606617468578306,0.3668573345834703,analog recording,cs
0.5272484787978218,0.5952768948504547,0.08696468811201881,0.36700712819313824,analog signal,cs
0.5180770164881812,0.6222877713231671,0.08616584905416891,0.361947442965029,analog-to-digital converter,cs
0.6504182530538247,0.251228765680651,0.301956201656856,0.22145997911286072,application crashing,cs
0.5608643775036531,0.680309281446537,0.693952064125892,0.4523939458354397,application programming interface,cs
0.5603668368149727,0.6816993929175966,0.6938494861731004,0.45394267687202555,application programming interfaces,cs
0.4226647892264598,0.6337311404406188,0.7739867412196529,0.7675158396065896,applied mathematics,cs
0.2773325742361515,0.4106821050311725,0.7336212183501618,0.7064781984795393,approximation algorithms,cs
0.3948231188893195,0.6423581301237197,0.3944152012015002,0.6637937099215645,arnoldi iteration,cs
0.3445278431507459,0.6107527012395572,0.5564565039983432,0.6531751026715069,array list,cs
0.3874688009742312,0.9511827175200086,0.5572164211985627,0.7302679444817266,artificial bee colony algorithm,cs
0.5291736034388344,0.4174275305289139,0.2810846685212737,0.137202098421489,artificial consciousness,cs
0.56934615588149,0.9299484468600447,0.7712229590259688,0.5055695584962464,artificial intelligence,cs
0.5539669771577169,0.9453135051246788,0.7718776020878769,0.510100318968026,artificial intelligent agents,cs
