tsne_0,tsne_1,phrase,label
0.7721552116180411,0.4613437206931055,3d computer graphics,cs
0.6649946380644828,0.3628404299263996,3d core graphics system,cs
0.4422779626406365,0.23548602043782135,Gradient boosting,cs
0.5234875774420256,0.27511266375462357,Node Link,cs
0.7018450551180415,0.2969455419286757,Object Oriented Programming,cs
0.35077247844045284,0.5904342830310334,Singleton pattern,cs
0.6786057191619473,0.8201609573575304,abstract algebra,cs
0.5350572649779246,0.8562800143226461,abstract data structures,cs
0.47365414742155093,0.862126079583273,abstract data type,cs
0.5155662786912204,0.8623964743154694,abstract graphical data type,cs
0.4728094870748759,0.8422680046706801,abstract machines,cs
0.39716498119385424,0.4741159847119272,acoustic model,cs
0.4086738778461518,0.04962588240739004,active networking,cs
0.5430860247562866,0.3761251349160314,adaptive huffman coding,cs
0.5678472582479627,0.3083897562185794,adaptive predictive coding,cs
0.4263210968937416,0.41241736993922545,adjacency list,cs
0.6023605870890151,0.33052161198912555,adjacency list data structure,cs
0.3079348515097548,0.3541287734847113,adjacent vertices,cs
0.6295694210100607,0.17988641759511895,advanced computing environment,cs
0.7748502670171189,0.29836568960105275,affective computing,cs
0.6948582633609116,0.38916806099872203,algebraic theories,cs
0.680517505338693,0.3242453126814934,algorithmic assignment,cs
0.8610434456664489,0.43703683197995535,algorithmic complexity theory,cs
0.7661435316111673,0.3007786653400683,algorithmic design,cs
0.8383716086153841,0.31251316900599757,algorithmic information theory,cs
0.5521438504824909,0.6858416805862904,analog filters,cs
0.5431989515060535,0.7091824910616389,analog recording,cs
0.4341533163508272,0.699695166334341,analog signal,cs
0.6157418246423865,0.6002918216850884,analog-to-digital converter,cs
0.554341730940374,0.7034493119293107,application crashing,cs
0.7934382151591618,0.18443613435226852,application programming interface,cs
0.7866541513619542,0.20326660639330868,application programming interfaces,cs
0.7491233350511161,0.41585326306276144,applied mathematics,cs
0.6153126543950809,0.4586676068040834,approximation algorithms,cs
0.36664417575561065,0.47357296293103024,arnoldi iteration,cs
0.5279149327479445,0.3843586964709331,array list,cs
0.7884117431172968,0.5139052419240456,artificial bee colony algorithm,cs
0.4682326689799742,0.80064977251064,artificial consciousness,cs
0.7082622577868933,0.5254364697048419,artificial intelligence,cs
0.5854413673812037,0.5232773175773261,artificial intelligent agents,cs
0.7483890454500944,0.46866433516483214,artificial neural network,cs
0.7648489810564947,0.48339386484575425,artificial neural networks,cs
0.5789620111039625,0.6867352251073018,artificial neurons,cs
0.7489226184556175,0.47495045385875173,artificial neurons stochastic transfer functions,cs
0.5094880692150527,0.6642989477235065,artificial systems,cs
0.4182837128496897,0.3917192870341383,associative arrays,cs
0.4448360838396127,0.3535188088031472,associative classifier,cs
0.5232633499946908,0.319953293020758,augmented reality,cs
0.5661071550088388,0.26930259719182514,authentication mechanism,cs
0.8224332532419842,0.3390654786007045,automata theory,cs
0.8246077632962009,0.3133435182875563,automata-based programming,cs
0.6447635464053172,0.3842584049226795,automatic memory management,cs
0.4106892581329593,0.3498070789467666,automatic speech recognition,cs
0.7812115740739185,0.33980632294318097,autonomic computing,cs
0.7194343092363362,0.27468480199465645,autonomic networking,cs
0.19370314005168912,0.3566873523331318,autonomous operation,cs
0.6172585766572845,0.23484985424679583,autonomous processing nodes,cs
