date,learningRate,trainAccuracy,testAccuracy,loss
0,4.000007999938049e-06,85.30434782608695,89.98868778280543,101
1,4.000007999938049e-06,84.1304347826087,90.10180995475113,101
2,4.000007999938049e-06,83.08695652173913,90.04524886877829,101
3,4.000007999938049e-06,82.3913043478261,90.21493212669684,101
4,4.000007999938049e-06,82.3913043478261,90.10180995475113,101
5,4.000007999938049e-06,83.95652173913044,90.04524886877829,101
6,4.000007999938049e-06,82.95652173913044,90.21493212669684,101
7,4.000007999938049e-06,82.65217391304348,90.04524886877829,101
8,4.000007999938049e-06,82.0,90.04524886877829,101
9,4.000007999938049e-06,82.82608695652173,89.93212669683258,101
10,4.000007999938049e-06,81.0,89.81900452488688,101
11,4.000007999938049e-06,83.17391304347827,90.21493212669684,101
12,4.000007999938049e-06,82.0,90.04524886877829,101
13,4.000007999938049e-06,82.08695652173913,90.15837104072398,101
14,4.000007999938049e-06,82.34782608695652,90.10180995475113,101
15,4.000007999938049e-06,82.34782608695652,89.98868778280543,101
16,4.000007999938049e-06,82.30434782608695,90.15837104072398,101
17,4.000007999938049e-06,80.82608695652173,90.21493212669684,101
18,4.000007999938049e-06,82.34782608695652,89.70588235294117,101
19,4.000007999938049e-06,81.56521739130434,90.10180995475113,101
20,4.000007999938049e-06,82.73913043478261,90.15837104072398,101
21,4.000007999938049e-06,81.26086956521739,90.21493212669684,101
22,4.000007999938049e-06,81.08695652173913,90.15837104072398,101
23,4.000007999938049e-06,80.52173913043478,90.10180995475113,101
24,4.000007999938049e-06,81.69565217391305,90.21493212669684,101
25,4.000007999938049e-06,80.69565217391305,89.81900452488688,101
26,4.000007999938049e-06,81.34782608695652,89.93212669683258,101
27,4.000007999938049e-06,81.21739130434783,90.21493212669684,101
28,4.000007999938049e-06,81.78260869565217,89.98868778280543,101
29,4.000007999938049e-06,82.6086956521739,90.21493212669684,101
30,4.000007999938049e-06,82.0,90.10180995475113,101
31,4.000007999938049e-06,80.82608695652173,89.98868778280543,101
32,4.000007999938049e-06,80.95652173913044,90.10180995475113,101
33,4.000007999938049e-06,81.21739130434783,90.15837104072398,101
34,4.000007999938049e-06,81.1304347826087,90.21493212669684,101
35,4.000007999938049e-06,80.52173913043478,90.21493212669684,101
36,4.000007999938049e-06,81.0,90.15837104072398,101
37,4.000007999938049e-06,80.65217391304348,90.04524886877829,101
38,4.000007999938049e-06,80.69565217391305,90.15837104072398,101
39,4.000007999938049e-06,79.91304347826087,90.04524886877829,101
40,4.000007999938049e-06,79.78260869565217,90.15837104072398,101
41,4.000007999938049e-06,80.08695652173913,90.21493212669684,101
42,4.000007999938049e-06,80.69565217391305,90.21493212669684,101
43,4.000007999938049e-06,80.65217391304348,89.93212669683258,101
44,4.000007999938049e-06,77.78260869565217,90.04524886877829,101
45,4.000007999938049e-06,80.47826086956522,90.15837104072398,101
46,4.000007999938049e-06,81.43478260869566,89.93212669683258,101
47,4.000007999938049e-06,80.6086956521739,89.93212669683258,101
48,4.000007999938049e-06,80.3913043478261,90.15837104072398,101
49,4.000007999938049e-06,78.78260869565217,89.70588235294117,101
50,4.000007999938049e-06,79.43478260869566,90.10180995475113,101
51,4.000007999938049e-06,81.08695652173913,89.93212669683258,101
52,4.000007999938049e-06,79.26086956521739,90.10180995475113,101
53,4.000007999938049e-06,79.78260869565217,90.04524886877829,101
54,4.000007999938049e-06,80.04347826086956,90.04524886877829,101
55,4.000007999938049e-06,79.26086956521739,89.70588235294117,101
56,4.000007999938049e-06,80.26086956521739,89.93212669683258,101
57,4.000007999938049e-06,79.6086956521739,89.87556561085974,101
58,4.000007999938049e-06,78.69565217391305,90.15837104072398,101
59,4.000007999938049e-06,78.04347826086956,89.93212669683258,101
60,4.000007999938049e-06,79.17391304347827,89.53619909502262,101
61,4.000007999938049e-06,79.91304347826087,89.98868778280543,101
62,4.000007999938049e-06,79.30434782608695,89.81900452488688,101
63,4.000007999938049e-06,78.47826086956522,89.87556561085974,101
64,4.000007999938049e-06,78.8695652173913,89.87556561085974,101
65,4.000007999938049e-06,80.0,89.93212669683258,101
66,4.000007999938049e-06,78.04347826086956,89.93212669683258,101
67,4.000007999938049e-06,79.34782608695652,89.76244343891403,101
68,4.000007999938049e-06,79.0,89.98868778280543,101
69,4.000007999938049e-06,79.43478260869566,90.04524886877829,101
70,4.000007999938049e-06,79.43478260869566,89.76244343891403,101
71,4.000007999938049e-06,79.30434782608695,89.98868778280543,101
72,4.000007999938049e-06,79.52173913043478,89.87556561085974,101
73,4.000007999938049e-06,78.78260869565217,90.27149321266968,101
74,4.000007999938049e-06,79.95652173913044,89.93212669683258,101
75,4.000007999938049e-06,79.34782608695652,89.93212669683258,101
76,4.000007999938049e-06,79.47826086956522,89.81900452488688,101
77,4.000007999938049e-06,77.8695652173913,89.93212669683258,101
78,4.000007999938049e-06,79.17391304347827,89.76244343891403,101
79,4.000007999938049e-06,78.91304347826087,90.10180995475113,101
80,4.000007999938049e-06,76.3913043478261,89.87556561085974,101
81,4.000007999938049e-06,77.6086956521739,89.76244343891403,101
82,4.000007999938049e-06,79.21739130434783,89.93212669683258,101
83,4.000007999938049e-06,79.17391304347827,90.10180995475113,101
84,4.000007999938049e-06,77.34782608695652,89.76244343891403,101
85,4.000007999938049e-06,76.73913043478261,89.87556561085974,101
86,4.000007999938049e-06,78.8695652173913,90.04524886877829,101
87,4.000007999938049e-06,76.52173913043478,89.81900452488688,101
88,4.000007999938049e-06,75.8695652173913,90.10180995475113,101
89,4.000007999938049e-06,78.3913043478261,89.81900452488688,101
90,4.000007999938049e-06,78.1304347826087,90.10180995475113,101
91,4.000007999938049e-06,78.0,89.87556561085974,101
92,4.000007999938049e-06,77.26086956521739,89.81900452488688,101
93,4.000007999938049e-06,77.30434782608695,89.76244343891403,101
94,4.000007999938049e-06,77.91304347826087,89.87556561085974,101
95,4.000007999938049e-06,77.82608695652173,89.81900452488688,101
96,4.000007999938049e-06,77.47826086956522,89.98868778280543,101
97,4.000007999938049e-06,77.82608695652173,89.70588235294117,101
98,4.000007999938049e-06,77.1304347826087,89.87556561085974,101
99,4.000007999938049e-06,77.73913043478261,89.87556561085974,101
100,4.000007999938049e-06,78.1304347826087,89.76244343891403,101
101,4.000007999938049e-06,78.65217391304348,89.76244343891403,101
102,4.000007999938049e-06,77.95652173913044,89.70588235294117,101
103,4.000007999938049e-06,76.73913043478261,89.81900452488688,101
104,4.000007999938049e-06,77.26086956521739,89.81900452488688,101
105,4.000007999938049e-06,76.8695652173913,89.87556561085974,101
106,4.000007999938049e-06,76.08695652173913,89.98868778280543,101
107,4.000007999938049e-06,78.73913043478261,89.81900452488688,101
108,4.000007999938049e-06,78.43478260869566,89.98868778280543,101
109,4.000007999938049e-06,78.56521739130434,89.70588235294117,101
110,4.000007999938049e-06,77.91304347826087,89.76244343891403,101
111,4.000007999938049e-06,77.47826086956522,89.64932126696833,101
112,4.000007999938049e-06,78.34782608695652,89.76244343891403,101
113,4.000007999938049e-06,77.56521739130434,89.87556561085974,101
114,4.000007999938049e-06,76.91304347826087,90.04524886877829,101
115,4.000007999938049e-06,77.6086956521739,89.81900452488688,101
116,4.000007999938049e-06,77.17391304347827,89.98868778280543,101
117,4.000007999938049e-06,75.6086956521739,89.70588235294117,101
118,4.000007999938049e-06,78.08695652173913,90.10180995475113,101
119,4.000007999938049e-06,78.04347826086956,89.76244343891403,101
120,4.000007999938049e-06,77.43478260869566,89.76244343891403,101
121,4.000007999938049e-06,77.3913043478261,89.87556561085974,101
122,4.000007999938049e-06,77.95652173913044,89.87556561085974,101
123,4.000007999938049e-06,78.1304347826087,89.76244343891403,101
124,4.000007999938049e-06,77.73913043478261,89.64932126696833,101
125,4.000007999938049e-06,76.21739130434783,89.93212669683258,101
126,4.000007999938049e-06,77.30434782608695,89.70588235294117,101
127,4.000007999938049e-06,77.08695652173913,89.87556561085974,101
128,4.000007999938049e-06,76.78260869565217,90.04524886877829,101
129,4.000007999938049e-06,76.73913043478261,89.76244343891403,101
130,4.000007999938049e-06,78.08695652173913,89.93212669683258,101
131,4.000007999938049e-06,78.21739130434783,89.93212669683258,101
132,4.000007999938049e-06,77.04347826086956,89.76244343891403,101
133,4.000007999938049e-06,76.56521739130434,89.87556561085974,101
134,4.000007999938049e-06,76.26086956521739,89.93212669683258,101
135,4.000007999938049e-06,77.82608695652173,89.53619909502262,101
136,4.000007999938049e-06,77.21739130434783,89.87556561085974,101
137,4.000007999938049e-06,76.91304347826087,89.87556561085974,101
138,4.000007999938049e-06,76.30434782608695,89.76244343891403,101
139,4.000007999938049e-06,76.04347826086956,89.81900452488688,101
140,4.000007999938049e-06,77.95652173913044,89.93212669683258,101
